id_mahasiswa,semester,kelas,jenis_kelamin,kehadiran_persen,tugas_rata,kuis_rata,nilai_uts,akses_lms,forum_posts,jam_belajar_per_minggu,jumlah_terlambat_tugas,ikut_bimbingan,nilai_uas,nilai_akhir,status_lulus
MHS00072,2,SI-C,P,81.7,63.7,52.3,42.1,49,3,9.2,3,Tidak,54.9,53.4,Tidak Lulus
MHS00073,1,SI-B,L,66.0,68.8,55.4,42.9,37,6,6.0,5,Tidak,35.7,49.7,Tidak Lulus
MHS00074,5,SI-A,P,84.2,51.2,47.9,60.2,38,2,1.1,0,Tidak,54.1,53.7,Tidak Lulus
MHS00075,4,SI-A,P,88.4,83.1,79.9,71.1,42,2,6.4,0,Tidak,72.6,76.3,Lulus
MHS00076,5,SI-D,L,80.1,82.1,93.9,84.7,36,2,6.8,1,Ya,77.0,83.6,Lulus
MHS00077,5,SI-B,L,91.8,88.8,75.6,83.1,50,4,10.0,1,Tidak,70.9,79.4,Lulus
MHS00078,1,SI-B,L,63.4,80.5,76.0,51.3,56,3,11.3,1,Tidak,60.1,66.2,Lulus
MHS00079,2,SI-A,P,83.6,69.2,63.3,50.2,30,3,4.4,0,Tidak,45.3,56.1,Tidak Lulus
MHS00080,1,SI-B,P,64.0,72.5,75.2,59.2,39,6,8.9,4,Ya,66.6,67.9,Lulus
MHS00081,5,SI-A,P,64.6,63.5,60.7,62.6,49,4,8.8,0,Ya,54.9,60.1,Lulus
MHS00082,4,SI-B,L,70.4,77.3,64.1,62.8,52,2,9.7,1,Ya,71.8,69.4,Lulus
MHS00083,2,SI-B,P,66.7,49.2,63.4,51.6,39,3,8.0,3,Tidak,50.5,53.0,Tidak Lulus
MHS00084,1,SI-B,P,71.4,64.7,62.1,54.1,31,7,0.7,2,Ya,49.3,56.9,Tidak Lulus
MHS00085,2,SI-A,P,75.4,71.5,66.2,63.3,41,4,6.0,0,Tidak,56.3,63.8,Lulus
MHS00086,2,SI-D,P,88.0,68.5,66.2,64.1,34,2,3.0,0,Tidak,61.8,64.9,Lulus
MHS00087,5,SI-B,L,74.1,58.7,67.3,39.5,38,3,5.9,2,Tidak,55.7,54.7,Tidak Lulus
MHS00088,4,SI-A,L,59.0,55.1,41.4,44.7,49,3,9.4,2,Tidak,48.7,47.8,Tidak Lulus
MHS00089,6,SI-A,P,91.7,78.6,78.9,72.8,38,3,7.4,0,Tidak,76.2,76.5,Lulus
MHS00090,3,SI-B,P,68.0,70.1,63.1,53.8,45,5,9.9,1,Ya,59.6,61.5,Lulus
MHS00091,1,SI-B,P,77.3,74.4,89.6,67.2,38,6,7.5,1,Ya,76.7,76.3,Lulus
MHS00092,5,SI-D,L,83.4,51.4,54.0,39.9,35,1,2.6,1,Tidak,33.6,43.7,Tidak Lulus
MHS00093,5,SI-A,L,80.4,69.6,69.2,64.8,26,8,0.0,0,Tidak,62.1,66.1,Lulus
MHS00094,4,SI-A,L,91.1,83.2,81.2,67.6,42,1,6.9,0,Tidak,71.1,75.3,Lulus
MHS00095,5,SI-C,L,83.7,78.9,90.2,75.4,37,3,5.9,0,Tidak,63.5,75.7,Lulus
MHS00096,3,SI-A,P,67.7,80.4,52.2,52.7,43,3,3.6,1,Tidak,49.7,58.6,Tidak Lulus
MHS00097,3,SI-D,P,100.0,56.9,53.7,55.1,23,2,1.4,2,Tidak,62.3,57.4,Tidak Lulus
MHS00098,3,SI-C,L,80.3,61.5,47.3,62.3,42,1,4.3,0,Tidak,57.6,57.7,Tidak Lulus
MHS00099,1,SI-C,L,76.2,57.4,52.4,48.8,46,5,5.9,1,Ya,60.4,55.2,Tidak Lulus
MHS00100,1,SI-C,L,89.6,78.5,73.8,71.8,39,3,8.5,1,Tidak,66.3,72.2,Lulus
MHS00101,1,SI-B,L,81.0,66.3,60.1,66.7,45,4,7.1,1,Tidak,48.9,59.9,Tidak Lulus
MHS00102,4,SI-B,P,82.8,91.9,86.0,81.7,56,9,11.3,1,Ya,95.5,89.2,Lulus
MHS00103,2,SI-A,P,100.0,67.4,54.0,56.8,40,2,3.4,0,Tidak,54.5,58.2,Tidak Lulus
MHS00104,3,SI-C,L,74.7,96.7,85.8,63.2,54,3,9.1,3,Ya,68.2,77.6,Lulus
MHS00105,6,SI-D,P,74.2,76.4,63.9,55.5,52,3,6.6,2,Ya,50.1,60.8,Lulus
MHS00106,2,SI-B,P,79.4,100.0,77.0,79.3,40,5,8.6,0,Tidak,87.0,86.3,Lulus
MHS00107,3,SI-D,P,90.9,48.0,46.9,49.6,37,2,5.2,4,Tidak,46.0,47.6,Tidak Lulus
MHS00108,5,SI-D,L,59.9,65.7,73.5,61.8,41,3,9.7,6,Tidak,47.7,60.9,Lulus
MHS00109,2,SI-B,P,54.4,49.9,47.7,40.5,39,5,7.4,4,Tidak,40.6,44.3,Tidak Lulus
MHS00110,1,SI-B,L,71.0,78.2,55.9,53.8,46,3,4.5,0,Tidak,53.6,60.3,Lulus
MHS00111,2,SI-B,L,58.4,81.0,65.9,45.8,39,3,6.5,4,Ya,45.6,58.6,Tidak Lulus
MHS00112,1,SI-B,L,72.9,67.4,57.0,49.4,39,2,5.8,0,Ya,47.4,54.8,Tidak Lulus
MHS00113,6,SI-C,L,84.0,60.7,68.7,56.2,46,1,8.0,1,Ya,51.6,58.4,Tidak Lulus
MHS00114,5,SI-C,L,67.3,59.2,42.6,59.1,40,3,3.0,0,Tidak,55.7,54.8,Tidak Lulus
MHS00115,4,SI-C,L,60.9,69.3,56.9,45.1,50,2,6.4,2,Ya,58.6,57.6,Tidak Lulus
MHS00116,6,SI-C,L,78.8,60.0,34.9,41.7,47,3,7.7,1,Tidak,35.6,43.1,Tidak Lulus
MHS00117,5,SI-A,P,88.4,86.2,69.9,67.0,38,2,6.6,0,Tidak,68.3,72.8,Lulus
MHS00118,2,SI-C,P,57.7,66.4,73.8,70.1,53,3,10.5,2,Ya,62.3,67.6,Lulus
MHS00119,6,SI-B,L,87.8,79.6,73.5,76.3,52,6,8.8,1,Ya,71.3,75.1,Lulus
MHS00120,3,SI-D,P,87.8,70.0,64.9,62.3,44,5,6.5,2,Tidak,55.7,62.8,Lulus
MHS00121,5,SI-C,P,89.4,60.3,60.4,49.8,36,3,7.2,1,Tidak,56.8,56.6,Tidak Lulus
MHS00122,6,SI-A,P,92.6,79.1,65.6,67.6,42,1,7.4,2,Tidak,59.2,67.6,Lulus
MHS00123,2,SI-B,L,100.0,76.5,71.5,80.1,40,3,7.7,0,Tidak,74.8,75.9,Lulus
MHS00124,1,SI-D,P,73.7,73.1,58.1,67.6,25,1,1.0,0,Tidak,46.8,60.8,Lulus
MHS00125,2,SI-D,P,79.3,54.3,38.8,32.1,49,1,5.6,0,Tidak,39.9,41.3,Tidak Lulus
MHS00126,3,SI-C,P,73.0,71.9,53.3,48.8,34,1,2.0,0,Tidak,47.7,55.1,Tidak Lulus
MHS00127,5,SI-D,L,78.0,76.0,76.7,69.6,55,5,10.3,2,Tidak,65.6,71.4,Lulus
MHS00128,5,SI-C,L,96.4,50.6,78.9,76.2,41,4,6.3,1,Tidak,74.4,69.8,Lulus
MHS00129,1,SI-C,P,61.9,66.8,57.5,42.1,38,5,5.9,2,Tidak,42.9,51.6,Tidak Lulus
MHS00130,3,SI-B,L,67.7,88.7,91.8,66.3,51,3,9.2,1,Tidak,76.5,80.1,Lulus
MHS00131,3,SI-B,L,94.5,70.2,83.0,70.6,46,4,7.8,0,Tidak,52.0,67.4,Lulus
MHS00132,2,SI-A,L,90.2,72.9,53.4,47.8,41,2,3.1,1,Tidak,54.1,57.1,Tidak Lulus
MHS00133,1,SI-B,P,73.6,94.9,78.3,54.4,40,2,6.3,2,Tidak,47.1,67.1,Lulus
MHS00134,2,SI-B,P,88.3,74.5,60.4,78.8,38,4,5.5,2,Tidak,72.6,72.2,Lulus
MHS00135,6,SI-C,L,82.1,61.9,48.2,49.1,29,1,1.3,1,Tidak,60.3,55.5,Tidak Lulus
MHS00136,2,SI-B,P,96.0,66.0,62.2,57.5,35,1,4.4,1,Tidak,57.8,60.7,Lulus
MHS00137,3,SI-C,L,78.9,68.8,54.9,48.2,40,1,5.9,1,Tidak,64.1,59.5,Tidak Lulus
MHS00138,4,SI-C,P,90.3,85.0,80.4,73.4,35,4,6.2,1,Tidak,65.9,75.4,Lulus
MHS00139,3,SI-B,P,100.0,50.2,63.6,55.4,39,5,2.1,0,Tidak,65.1,58.6,Tidak Lulus
MHS00140,6,SI-A,P,85.2,90.3,73.8,80.4,51,3,10.0,1,Tidak,81.0,81.7,Lulus
MHS00141,6,SI-A,P,78.6,73.3,64.2,51.2,34,4,6.2,3,Tidak,52.4,59.7,Tidak Lulus
MHS00142,2,SI-D,L,86.7,66.3,72.8,63.2,39,3,6.6,3,Tidak,58.7,64.5,Lulus
MHS00143,3,SI-D,P,73.6,98.2,81.5,71.3,49,4,7.7,3,Ya,73.3,80.7,Lulus
MHS00144,2,SI-B,L,100.0,93.0,65.7,77.0,44,1,4.1,0,Tidak,74.3,77.9,Lulus
MHS00145,2,SI-A,P,80.2,53.4,78.5,61.1,45,4,7.9,2,Tidak,61.1,62.7,Lulus
MHS00146,1,SI-C,P,74.7,75.3,70.4,69.1,38,1,5.4,0,Ya,79.5,74.0,Lulus
MHS00147,4,SI-D,P,68.0,78.5,69.1,63.2,39,0,3.8,1,Tidak,69.9,70.2,Lulus
MHS00148,3,SI-C,L,91.2,90.6,75.5,79.4,56,4,8.2,3,Tidak,78.8,81.2,Lulus
MHS00149,1,SI-D,P,88.4,100.0,100.0,90.7,52,5,11.0,2,Tidak,100.0,97.7,Lulus
MHS00150,2,SI-B,L,72.0,87.2,74.1,68.9,47,7,8.7,0,Tidak,63.6,72.9,Lulus
MHS00151,6,SI-A,L,84.9,100.0,92.8,95.8,52,2,9.3,1,Tidak,89.6,94.4,Lulus
MHS00152,2,SI-D,P,59.9,43.9,54.7,40.6,34,3,4.9,2,Tidak,44.1,45.3,Tidak Lulus
MHS00153,1,SI-A,L,80.2,61.5,49.5,64.8,31,1,1.7,0,Tidak,49.1,56.2,Tidak Lulus
MHS00154,3,SI-C,P,83.4,91.4,80.2,86.7,51,4,11.0,0,Tidak,95.9,89.3,Lulus
MHS00155,6,SI-B,L,98.5,89.0,92.6,89.8,51,5,12.7,2,Tidak,96.9,92.3,Lulus
MHS00156,2,SI-A,L,68.8,78.3,64.1,60.8,48,4,11.1,4,Ya,63.5,66.6,Lulus
MHS00157,4,SI-B,P,62.7,58.2,68.8,48.2,52,5,5.5,3,Tidak,42.9,53.2,Tidak Lulus
MHS00158,5,SI-A,L,67.3,40.4,31.9,36.3,32,1,3.0,4,Tidak,16.5,30.5,Tidak Lulus
MHS00159,2,SI-C,L,62.0,40.8,30.2,34.6,38,3,3.3,4,Tidak,19.9,30.9,Tidak Lulus
MHS00160,5,SI-C,P,94.0,58.9,48.0,54.5,30,5,1.4,0,Tidak,65.5,57.6,Tidak Lulus
MHS00161,3,SI-B,L,96.6,67.9,82.9,75.7,37,2,6.2,2,Tidak,65.6,72.2,Lulus
MHS00162,4,SI-C,P,81.8,79.2,84.8,83.2,58,1,11.3,1,Tidak,83.1,82.5,Lulus
MHS00163,4,SI-D,L,92.7,92.0,65.7,66.1,39,2,6.1,0,Tidak,72.2,74.3,Lulus
MHS00164,3,SI-A,P,79.6,71.4,52.4,51.7,31,5,7.4,3,Tidak,38.1,52.7,Tidak Lulus
MHS00165,1,SI-C,P,76.9,90.4,79.9,65.2,48,2,10.6,1,Tidak,68.2,75.3,Lulus
MHS00166,5,SI-D,P,74.0,63.3,61.5,58.3,36,3,5.3,3,Tidak,43.6,55.8,Tidak Lulus
MHS00167,2,SI-B,L,74.3,80.5,74.2,84.2,53,5,12.6,1,Tidak,80.3,80.1,Lulus
MHS00168,2,SI-D,P,59.4,100.0,87.3,65.6,58,6,12.5,2,Ya,80.8,83.1,Lulus
MHS00169,1,SI-B,P,81.2,83.8,78.8,66.4,40,6,6.1,0,Tidak,68.9,74.0,Lulus
MHS00170,4,SI-B,P,77.5,70.6,72.5,54.2,28,4,4.8,0,Ya,72.2,67.4,Lulus
MHS00171,4,SI-A,L,86.9,65.3,89.4,69.3,54,2,8.6,1,Tidak,76.6,74.5,Lulus
MHS00172,1,SI-A,P,79.1,49.3,52.1,35.9,35,6,5.5,1,Tidak,43.5,44.8,Tidak Lulus
MHS00173,3,SI-D,P,76.0,46.4,45.7,56.2,30,3,3.0,1,Tidak,48.7,49.4,Tidak Lulus
MHS00174,2,SI-A,L,67.5,76.9,61.9,68.0,48,5,10.3,2,Tidak,56.1,65.4,Lulus
MHS00175,4,SI-A,L,78.9,95.0,64.8,73.5,47,4,10.1,1,Tidak,69.0,75.8,Lulus
MHS00176,1,SI-A,P,86.9,75.9,57.0,70.3,46,3,7.0,2,Tidak,66.4,67.9,Lulus
MHS00177,4,SI-D,L,64.3,30.0,37.4,40.5,35,1,2.7,4,Tidak,26.8,33.1,Tidak Lulus
MHS00178,3,SI-C,P,79.0,37.9,48.8,45.3,33,2,2.8,2,Tidak,29.5,39.4,Tidak Lulus
MHS00179,6,SI-A,P,80.8,55.0,70.6,51.4,33,1,6.8,1,Ya,58.9,58.4,Tidak Lulus
MHS00180,1,SI-A,P,69.4,49.9,45.4,36.0,36,2,5.0,6,Tidak,29.0,39.3,Tidak Lulus
MHS00181,2,SI-D,L,70.9,67.8,62.6,59.7,39,1,5.5,0,Ya,52.6,60.2,Lulus
MHS00182,1,SI-C,L,80.8,87.1,70.1,64.6,52,3,9.6,2,Tidak,58.9,69.6,Lulus
MHS00183,6,SI-A,P,64.4,58.5,68.5,69.8,41,3,8.7,4,Tidak,50.7,61.0,Lulus
MHS00184,6,SI-B,L,82.2,90.2,81.2,80.2,49,5,10.6,0,Tidak,80.8,83.1,Lulus
MHS00185,2,SI-D,P,67.3,56.9,39.7,42.2,29,3,3.5,5,Tidak,31.8,42.3,Tidak Lulus
MHS00186,4,SI-A,L,90.8,86.1,64.5,77.0,46,2,5.5,1,Tidak,70.9,74.9,Lulus
MHS00187,5,SI-A,L,100.0,87.1,78.0,82.5,52,4,8.8,0,Tidak,79.3,81.8,Lulus
MHS00188,4,SI-B,L,67.7,69.8,56.5,56.3,37,3,7.8,1,Tidak,58.2,60.3,Lulus
MHS00189,3,SI-B,L,84.4,95.8,100.0,99.9,49,4,11.1,0,Tidak,88.2,95.4,Lulus
MHS00190,2,SI-D,P,69.3,70.4,79.8,67.0,48,2,7.8,4,Tidak,45.4,63.9,Lulus
MHS00191,1,SI-D,L,90.5,89.7,100.0,82.1,63,4,12.0,2,Tidak,74.7,85.4,Lulus
MHS00192,6,SI-B,L,62.8,61.4,53.9,54.6,39,2,8.1,2,Tidak,44.3,53.1,Tidak Lulus
MHS00193,6,SI-D,L,83.8,85.4,63.5,65.9,39,3,9.7,1,Ya,78.1,74.0,Lulus
MHS00194,4,SI-B,L,67.5,60.9,50.7,42.3,34,3,5.5,4,Tidak,33.5,46.0,Tidak Lulus
MHS00195,2,SI-A,L,75.5,78.3,54.5,66.0,33,5,6.5,2,Ya,63.3,66.0,Lulus
MHS00196,2,SI-B,P,65.6,62.7,51.7,49.0,48,5,9.2,3,Ya,54.0,54.5,Tidak Lulus
MHS00197,5,SI-B,L,87.9,91.7,92.5,77.8,53,5,11.3,1,Tidak,72.9,82.7,Lulus
MHS00198,6,SI-C,L,68.0,91.6,82.3,72.6,37,3,8.7,3,Tidak,63.3,76.5,Lulus
MHS00199,6,SI-B,L,84.6,59.1,72.6,72.9,33,3,6.3,1,Tidak,63.0,66.4,Lulus
MHS00200,5,SI-B,P,73.9,80.9,71.1,53.0,53,4,10.6,1,Ya,64.5,67.0,Lulus
MHS00201,4,SI-C,L,76.6,61.2,58.8,49.2,29,2,0.0,0,Ya,54.7,55.8,Tidak Lulus
MHS00202,1,SI-D,L,79.8,48.9,40.5,24.0,28,1,2.2,5,Tidak,31.9,35.9,Tidak Lulus
MHS00203,1,SI-C,P,68.9,89.3,72.7,42.7,50,4,8.5,1,Tidak,62.1,66.2,Lulus
MHS00204,6,SI-A,P,80.5,100.0,80.6,78.3,44,1,6.5,0,Tidak,80.9,85.0,Lulus
MHS00205,4,SI-C,L,96.4,90.4,96.4,75.7,45,3,8.3,0,Tidak,81.4,85.2,Lulus
MHS00206,1,SI-A,L,68.7,45.6,51.1,53.7,37,1,6.7,3,Tidak,42.5,47.8,Tidak Lulus
MHS00207,1,SI-D,P,92.1,80.0,82.5,65.6,51,4,8.2,2,Tidak,72.1,74.5,Lulus
MHS00208,4,SI-C,L,96.0,65.6,61.4,67.1,37,2,4.1,2,Tidak,51.2,60.8,Lulus
MHS00209,1,SI-C,P,68.2,81.6,74.6,68.0,43,4,8.2,3,Tidak,65.2,71.9,Lulus
MHS00210,1,SI-D,P,60.5,90.0,75.2,59.5,52,5,9.5,3,Ya,59.5,70.3,Lulus
MHS00211,4,SI-A,L,81.6,76.5,71.7,64.1,47,6,10.2,3,Tidak,63.2,68.4,Lulus
MHS00212,4,SI-C,L,71.4,85.3,100.0,83.1,55,3,12.5,1,Tidak,82.4,86.8,Lulus
MHS00213,4,SI-A,L,100.0,60.9,75.4,73.5,49,2,7.2,2,Tidak,69.5,69.5,Lulus
MHS00214,2,SI-C,P,78.4,83.0,70.4,78.6,41,6,7.3,2,Tidak,58.0,71.9,Lulus
MHS00215,5,SI-B,L,68.4,63.0,70.3,55.7,29,2,1.9,4,Ya,37.2,54.9,Tidak Lulus
MHS00216,2,SI-C,L,64.2,71.8,48.9,48.2,38,1,4.9,5,Ya,35.3,50.4,Tidak Lulus
MHS00217,2,SI-D,P,91.1,91.5,77.0,76.9,45,1,5.9,0,Ya,77.8,80.8,Lulus
MHS00218,5,SI-D,P,71.1,74.4,69.1,64.1,46,5,9.7,1,Tidak,72.8,70.3,Lulus
MHS00219,4,SI-A,L,78.5,68.1,63.3,58.3,45,2,4.7,0,Tidak,54.6,60.6,Lulus
MHS00220,5,SI-C,P,89.5,78.9,91.2,72.8,50,3,8.9,0,Tidak,69.6,77.0,Lulus
MHS00221,4,SI-A,L,72.2,81.8,79.4,72.7,36,5,6.5,1,Ya,62.7,73.3,Lulus
MHS00222,4,SI-A,L,77.4,58.7,70.1,56.0,45,7,6.0,0,Ya,65.8,62.4,Lulus
MHS00223,1,SI-B,L,77.8,81.2,67.9,69.9,46,3,7.2,0,Tidak,74.4,73.7,Lulus
MHS00224,3,SI-B,L,86.2,66.5,45.5,55.1,34,4,5.3,2,Tidak,59.4,57.3,Tidak Lulus
MHS00225,2,SI-D,L,85.1,68.1,61.0,67.2,35,2,5.2,1,Tidak,54.4,62.3,Lulus
MHS00226,2,SI-A,L,75.4,56.0,45.7,51.7,30,3,1.4,0,Tidak,35.8,46.8,Tidak Lulus
MHS00227,6,SI-D,P,78.8,67.3,41.8,49.0,42,1,5.8,0,Tidak,51.7,52.9,Tidak Lulus
MHS00228,3,SI-C,P,73.5,63.2,70.9,52.5,39,1,5.1,1,Ya,65.9,62.9,Lulus
