id_tiket,tanggal_lapor,hari_lapor,jam_lapor,unit_pelapor,kategori_masalah,prioritas,kanal_laporan,waktu_respons_menit,waktu_selesai_jam,jumlah_teknisi,eskalasi,status_sla,kepuasan_1_5
TIK00040,2026-01-01,Kamis,15:35,Perpustakaan,Sistem Akademik,Sedang,WhatsApp,25,9.5,2,Tidak,Sesuai SLA,3
TIK00041,2026-01-01,Kamis,16:35,Keuangan,Printer,Sedang,Datang Langsung,27,3.0,1,Tidak,Sesuai SLA,4
TIK00042,2026-01-02,Jumat,07:05,Umum,Komputer/Laptop,Rendah,WhatsApp,56,6.2,1,Tidak,Sesuai SLA,4
TIK00043,2026-01-02,Jumat,07:10,Keuangan,Komputer/Laptop,Rendah,WhatsApp,41,8.6,1,Tidak,Sesuai SLA,3
TIK00044,2026-01-02,Jumat,07:10,Akademik,Akun/Login,Rendah,Email,74,5.0,1,Tidak,Sesuai SLA,4
TIK00045,2026-01-02,Jumat,07:30,Akademik,Sistem Akademik,Sedang,Form Online,48,10.4,1,Tidak,Lewat SLA,5
TIK00046,2026-01-02,Jumat,07:35,Kemahasiswaan,Internet/WiFi,Tinggi,Form Online,44,8.0,2,Tidak,Lewat SLA,3
TIK00047,2026-01-02,Jumat,08:35,Perpustakaan,Komputer/Laptop,Sedang,Form Online,40,10.8,1,Ya,Lewat SLA,3
TIK00048,2026-01-02,Jumat,08:45,Laboratorium,Internet/WiFi,Tinggi,Datang Langsung,37,11.7,1,Ya,Lewat SLA,3
TIK00049,2026-01-02,Jumat,09:05,Laboratorium,Printer,Sedang,WhatsApp,31,4.7,1,Tidak,Sesuai SLA,5
TIK00050,2026-01-02,Jumat,09:05,Program Studi,Akun/Login,Rendah,Email,75,3.0,1,Tidak,Sesuai SLA,3
TIK00051,2026-01-02,Jumat,09:15,Laboratorium,Internet/WiFi,Sedang,WhatsApp,39,9.7,1,Tidak,Sesuai SLA,4
TIK00052,2026-01-02,Jumat,09:45,Laboratorium,Komputer/Laptop,Tinggi,Datang Langsung,19,6.1,2,Tidak,Lewat SLA,4
TIK00053,2026-01-02,Jumat,09:55,Program Studi,Akun/Login,Rendah,Form Online,61,5.8,2,Tidak,Sesuai SLA,4
TIK00054,2026-01-02,Jumat,10:00,Laboratorium,Akun/Login,Sedang,Email,62,4.1,1,Tidak,Sesuai SLA,4
TIK00055,2026-01-02,Jumat,10:15,Akademik,Proyektor,Sedang,Form Online,48,5.1,1,Tidak,Sesuai SLA,5
TIK00056,2026-01-02,Jumat,10:15,Laboratorium,Internet/WiFi,Sedang,Datang Langsung,54,7.2,1,Tidak,Sesuai SLA,4
TIK00057,2026-01-02,Jumat,10:20,Program Studi,Sistem Akademik,Sedang,Datang Langsung,18,11.4,2,Tidak,Lewat SLA,4
TIK00058,2026-01-02,Jumat,10:30,Keuangan,Proyektor,Rendah,Form Online,62,5.7,2,Ya,Sesuai SLA,4
TIK00059,2026-01-02,Jumat,10:50,Akademik,Internet/WiFi,Sedang,Datang Langsung,17,6.2,2,Tidak,Sesuai SLA,4
TIK00060,2026-01-02,Jumat,10:50,Umum,Sistem Akademik,Tinggi,WhatsApp,12,17.6,2,Ya,Lewat SLA,2
TIK00061,2026-01-02,Jumat,11:00,Akademik,Internet/WiFi,Rendah,WhatsApp,82,10.4,1,Tidak,Sesuai SLA,5
TIK00062,2026-01-02,Jumat,11:15,Akademik,Akun/Login,Tinggi,WhatsApp,12,5.4,3,Tidak,Sesuai SLA,5
TIK00063,2026-01-02,Jumat,11:25,Kemahasiswaan,Internet/WiFi,Sedang,WhatsApp,49,7.0,1,Tidak,Sesuai SLA,4
TIK00064,2026-01-02,Jumat,11:35,Program Studi,Sistem Akademik,Sedang,Datang Langsung,51,10.0,1,Tidak,Sesuai SLA,5
TIK00065,2026-01-02,Jumat,11:45,Kemahasiswaan,Sistem Akademik,Sedang,WhatsApp,50,15.8,1,Ya,Lewat SLA,3
TIK00066,2026-01-02,Jumat,11:45,Keuangan,Internet/WiFi,Sedang,Form Online,45,10.3,2,Ya,Lewat SLA,4
TIK00067,2026-01-02,Jumat,11:55,Keuangan,Printer,Rendah,WhatsApp,49,4.8,1,Tidak,Sesuai SLA,4
TIK00068,2026-01-02,Jumat,12:00,Perpustakaan,Komputer/Laptop,Sedang,Form Online,46,9.0,1,Tidak,Sesuai SLA,4
TIK00069,2026-01-02,Jumat,12:40,Akademik,Printer,Tinggi,WhatsApp,13,4.6,2,Tidak,Sesuai SLA,5
TIK00070,2026-01-02,Jumat,13:05,Kemahasiswaan,Komputer/Laptop,Rendah,Email,107,9.6,1,Tidak,Sesuai SLA,3
TIK00071,2026-01-02,Jumat,13:15,Laboratorium,Internet/WiFi,Sedang,Form Online,41,8.1,1,Tidak,Sesuai SLA,5
TIK00072,2026-01-02,Jumat,13:15,Perpustakaan,Internet/WiFi,Sedang,WhatsApp,31,9.6,1,Ya,Sesuai SLA,4
TIK00073,2026-01-02,Jumat,13:30,Kemahasiswaan,Sistem Akademik,Sedang,Form Online,54,10.0,1,Tidak,Sesuai SLA,4
TIK00074,2026-01-02,Jumat,13:35,Program Studi,Sistem Akademik,Sedang,WhatsApp,39,14.3,1,Tidak,Lewat SLA,3
TIK00075,2026-01-02,Jumat,13:45,Akademik,Komputer/Laptop,Rendah,WhatsApp,59,7.0,1,Ya,Sesuai SLA,4
TIK00076,2026-01-02,Jumat,13:55,Laboratorium,Proyektor,Sedang,WhatsApp,27,5.8,1,Tidak,Sesuai SLA,3
TIK00077,2026-01-02,Jumat,14:05,Laboratorium,Komputer/Laptop,Rendah,WhatsApp,65,6.0,1,Tidak,Sesuai SLA,4
TIK00078,2026-01-02,Jumat,14:40,Akademik,Printer,Sedang,Datang Langsung,30,2.4,1,Tidak,Sesuai SLA,4
TIK00079,2026-01-02,Jumat,15:20,Program Studi,Akun/Login,Rendah,WhatsApp,82,1.4,1,Tidak,Sesuai SLA,5
TIK00080,2026-01-03,Sabtu,07:10,Kemahasiswaan,Proyektor,Rendah,Datang Langsung,57,7.4,1,Ya,Sesuai SLA,5
TIK00081,2026-01-03,Sabtu,07:25,Program Studi,Komputer/Laptop,Tinggi,Email,55,7.9,2,Tidak,Lewat SLA,3
TIK00082,2026-01-03,Sabtu,07:30,Program Studi,Akun/Login,Rendah,WhatsApp,37,1.4,1,Tidak,Sesuai SLA,4
TIK00083,2026-01-03,Sabtu,07:55,Program Studi,Internet/WiFi,Sedang,WhatsApp,40,7.2,2,Tidak,Sesuai SLA,4
TIK00084,2026-01-03,Sabtu,08:15,Akademik,Komputer/Laptop,Rendah,WhatsApp,48,8.7,1,Tidak,Sesuai SLA,5
TIK00085,2026-01-03,Sabtu,08:45,Program Studi,Proyektor,Sedang,WhatsApp,54,2.5,1,Tidak,Sesuai SLA,5
TIK00086,2026-01-03,Sabtu,08:55,Laboratorium,Akun/Login,Sedang,WhatsApp,28,4.6,1,Tidak,Sesuai SLA,4
TIK00087,2026-01-03,Sabtu,09:00,Kemahasiswaan,Internet/WiFi,Sedang,Email,70,9.8,1,Ya,Sesuai SLA,5
TIK00088,2026-01-03,Sabtu,09:10,Umum,Internet/WiFi,Sedang,WhatsApp,44,7.5,1,Tidak,Sesuai SLA,4
TIK00089,2026-01-03,Sabtu,09:15,Program Studi,Sistem Akademik,Sedang,Form Online,53,12.4,1,Tidak,Lewat SLA,3
TIK00090,2026-01-03,Sabtu,09:40,Kemahasiswaan,Akun/Login,Rendah,WhatsApp,37,0.8,2,Tidak,Sesuai SLA,5
TIK00091,2026-01-03,Sabtu,09:50,Laboratorium,Sistem Akademik,Sedang,Form Online,84,13.8,1,Ya,Lewat SLA,3
TIK00092,2026-01-03,Sabtu,09:55,Program Studi,Akun/Login,Rendah,Email,96,3.3,1,Tidak,Sesuai SLA,5
TIK00093,2026-01-03,Sabtu,10:00,Akademik,Akun/Login,Rendah,Form Online,79,3.6,1,Tidak,Sesuai SLA,4
TIK00094,2026-01-03,Sabtu,10:00,Laboratorium,Akun/Login,Tinggi,Form Online,51,4.5,1,Tidak,Sesuai SLA,3
TIK00095,2026-01-03,Sabtu,10:05,Keuangan,Internet/WiFi,Sedang,Email,93,10.4,2,Ya,Lewat SLA,2
TIK00096,2026-01-03,Sabtu,10:05,Umum,Printer,Tinggi,Form Online,38,8.4,1,Tidak,Lewat SLA,3
TIK00097,2026-01-03,Sabtu,10:05,Laboratorium,Printer,Tinggi,WhatsApp,20,4.8,2,Tidak,Sesuai SLA,5
TIK00098,2026-01-03,Sabtu,10:10,Kemahasiswaan,Komputer/Laptop,Rendah,WhatsApp,52,7.8,2,Ya,Sesuai SLA,4
TIK00099,2026-01-03,Sabtu,10:30,Akademik,Internet/WiFi,Tinggi,WhatsApp,29,7.7,1,Tidak,Lewat SLA,4
TIK00100,2026-01-03,Sabtu,10:35,Akademik,Sistem Akademik,Rendah,Datang Langsung,45,11.5,1,Ya,Sesuai SLA,3
TIK00101,2026-01-03,Sabtu,10:35,Keuangan,Sistem Akademik,Rendah,Datang Langsung,39,9.0,2,Tidak,Sesuai SLA,4
TIK00102,2026-01-03,Sabtu,10:40,Kemahasiswaan,Akun/Login,Rendah,WhatsApp,43,2.3,2,Tidak,Sesuai SLA,4
TIK00103,2026-01-03,Sabtu,10:45,Umum,Proyektor,Tinggi,WhatsApp,13,6.6,1,Ya,Lewat SLA,4
TIK00104,2026-01-03,Sabtu,10:55,Kemahasiswaan,Sistem Akademik,Tinggi,WhatsApp,33,16.0,1,Ya,Lewat SLA,3
TIK00105,2026-01-03,Sabtu,11:00,Laboratorium,Komputer/Laptop,Sedang,WhatsApp,75,5.2,1,Tidak,Sesuai SLA,4
TIK00106,2026-01-03,Sabtu,11:20,Akademik,Komputer/Laptop,Sedang,Email,69,7.5,1,Tidak,Sesuai SLA,4
TIK00107,2026-01-03,Sabtu,11:20,Kemahasiswaan,Sistem Akademik,Rendah,Form Online,71,12.9,2,Tidak,Sesuai SLA,3
TIK00108,2026-01-03,Sabtu,11:50,Laboratorium,Printer,Tinggi,Form Online,39,7.7,2,Ya,Lewat SLA,3
TIK00109,2026-01-03,Sabtu,11:55,Keuangan,Printer,Rendah,Datang Langsung,45,2.1,1,Tidak,Sesuai SLA,4
TIK00110,2026-01-03,Sabtu,12:10,Kemahasiswaan,Akun/Login,Rendah,Email,86,3.3,2,Tidak,Sesuai SLA,5
TIK00111,2026-01-03,Sabtu,12:10,Akademik,Sistem Akademik,Sedang,Email,72,15.5,1,Ya,Lewat SLA,3
TIK00112,2026-01-03,Sabtu,12:25,Keuangan,Printer,Sedang,Datang Langsung,26,4.5,1,Tidak,Sesuai SLA,5
TIK00113,2026-01-03,Sabtu,12:25,Kemahasiswaan,Printer,Rendah,WhatsApp,62,2.2,2,Tidak,Sesuai SLA,4
TIK00114,2026-01-03,Sabtu,12:35,Program Studi,Komputer/Laptop,Sedang,WhatsApp,40,6.4,1,Tidak,Sesuai SLA,4
TIK00115,2026-01-03,Sabtu,12:35,Umum,Akun/Login,Rendah,Form Online,68,3.0,1,Tidak,Sesuai SLA,5
TIK00116,2026-01-03,Sabtu,12:40,Akademik,Akun/Login,Rendah,WhatsApp,58,2.7,2,Tidak,Sesuai SLA,5
TIK00117,2026-01-03,Sabtu,12:45,Akademik,Komputer/Laptop,Rendah,WhatsApp,56,6.3,1,Tidak,Sesuai SLA,4
TIK00118,2026-01-03,Sabtu,12:55,Laboratorium,Komputer/Laptop,Sedang,Form Online,53,8.2,2,Ya,Sesuai SLA,4
TIK00119,2026-01-03,Sabtu,13:10,Umum,Proyektor,Rendah,Email,104,3.7,1,Tidak,Sesuai SLA,5
TIK00120,2026-01-03,Sabtu,13:25,Kemahasiswaan,Internet/WiFi,Rendah,Datang Langsung,42,8.2,2,Tidak,Sesuai SLA,4
TIK00121,2026-01-03,Sabtu,13:35,Akademik,Sistem Akademik,Sedang,Datang Langsung,34,9.3,1,Tidak,Sesuai SLA,4
TIK00122,2026-01-03,Sabtu,13:40,Keuangan,Akun/Login,Sedang,WhatsApp,32,1.7,2,Tidak,Sesuai SLA,5
TIK00123,2026-01-03,Sabtu,13:45,Program Studi,Sistem Akademik,Rendah,Form Online,74,14.3,1,Ya,Sesuai SLA,3
TIK00124,2026-01-03,Sabtu,13:50,Akademik,Komputer/Laptop,Sedang,Email,63,6.2,1,Tidak,Sesuai SLA,4
TIK00125,2026-01-03,Sabtu,14:00,Keuangan,Sistem Akademik,Sedang,WhatsApp,49,9.5,1,Tidak,Sesuai SLA,4
TIK00126,2026-01-03,Sabtu,14:05,Perpustakaan,Akun/Login,Rendah,WhatsApp,32,5.5,1,Ya,Sesuai SLA,5
TIK00127,2026-01-03,Sabtu,14:10,Akademik,Internet/WiFi,Sedang,WhatsApp,36,12.5,1,Tidak,Lewat SLA,2
TIK00128,2026-01-03,Sabtu,14:15,Program Studi,Komputer/Laptop,Sedang,WhatsApp,24,6.5,1,Tidak,Sesuai SLA,3
TIK00129,2026-01-03,Sabtu,14:30,Perpustakaan,Internet/WiFi,Sedang,Form Online,59,8.0,1,Tidak,Sesuai SLA,4
TIK00130,2026-01-03,Sabtu,14:40,Program Studi,Printer,Sedang,WhatsApp,24,3.2,1,Tidak,Sesuai SLA,4
TIK00131,2026-01-03,Sabtu,15:10,Kemahasiswaan,Akun/Login,Rendah,Datang Langsung,39,3.1,2,Tidak,Sesuai SLA,4
TIK00132,2026-01-03,Sabtu,15:25,Keuangan,Printer,Sedang,Datang Langsung,34,6.4,1,Ya,Sesuai SLA,5
TIK00133,2026-01-03,Sabtu,15:55,Laboratorium,Printer,Sedang,Form Online,39,4.4,1,Tidak,Sesuai SLA,4
TIK00134,2026-01-03,Sabtu,17:35,Laboratorium,Sistem Akademik,Sedang,WhatsApp,51,11.6,2,Ya,Lewat SLA,3
TIK00135,2026-01-04,Minggu,07:00,Akademik,Sistem Akademik,Tinggi,WhatsApp,23,13.4,1,Tidak,Lewat SLA,3
TIK00136,2026-01-04,Minggu,07:10,Kemahasiswaan,Internet/WiFi,Sedang,WhatsApp,46,6.6,2,Tidak,Sesuai SLA,4
TIK00137,2026-01-04,Minggu,07:15,Program Studi,Sistem Akademik,Sedang,WhatsApp,25,12.1,1,Tidak,Lewat SLA,4
TIK00138,2026-01-04,Minggu,07:25,Akademik,Internet/WiFi,Tinggi,WhatsApp,22,13.4,1,Ya,Lewat SLA,3
TIK00139,2026-01-04,Minggu,07:40,Laboratorium,Akun/Login,Tinggi,WhatsApp,24,6.0,3,Tidak,Sesuai SLA,4
TIK00140,2026-01-04,Minggu,07:50,Perpustakaan,Sistem Akademik,Sedang,WhatsApp,50,11.5,1,Tidak,Lewat SLA,4
TIK00141,2026-01-04,Minggu,08:15,Keuangan,Internet/WiFi,Sedang,Email,76,11.3,2,Tidak,Lewat SLA,2
TIK00142,2026-01-04,Minggu,08:30,Perpustakaan,Akun/Login,Rendah,WhatsApp,43,2.9,1,Tidak,Sesuai SLA,4
TIK00143,2026-01-04,Minggu,08:40,Perpustakaan,Internet/WiFi,Rendah,Email,80,7.3,2,Tidak,Sesuai SLA,4
TIK00144,2026-01-04,Minggu,09:00,Keuangan,Internet/WiFi,Tinggi,WhatsApp,11,12.7,2,Ya,Lewat SLA,4
TIK00145,2026-01-04,Minggu,09:00,Laboratorium,Akun/Login,Sedang,Datang Langsung,20,1.7,1,Tidak,Sesuai SLA,5
TIK00146,2026-01-04,Minggu,09:00,Perpustakaan,Internet/WiFi,Rendah,Datang Langsung,47,5.9,1,Tidak,Sesuai SLA,5
TIK00147,2026-01-04,Minggu,09:35,Perpustakaan,Komputer/Laptop,Sedang,Form Online,67,5.0,1,Tidak,Sesuai SLA,5
TIK00148,2026-01-04,Minggu,09:35,Akademik,Printer,Sedang,WhatsApp,49,4.1,1,Tidak,Sesuai SLA,4
TIK00149,2026-01-04,Minggu,09:40,Keuangan,Internet/WiFi,Sedang,Email,146,7.8,1,Tidak,Sesuai SLA,3
TIK00150,2026-01-04,Minggu,10:10,Kemahasiswaan,Sistem Akademik,Rendah,Form Online,102,20.0,2,Ya,Lewat SLA,3
TIK00151,2026-01-04,Minggu,10:15,Program Studi,Akun/Login,Tinggi,Form Online,44,5.4,2,Tidak,Sesuai SLA,4
TIK00152,2026-01-04,Minggu,10:20,Laboratorium,Internet/WiFi,Rendah,WhatsApp,61,7.4,1,Tidak,Sesuai SLA,4
TIK00153,2026-01-04,Minggu,10:20,Kemahasiswaan,Sistem Akademik,Rendah,WhatsApp,39,13.2,1,Tidak,Sesuai SLA,3
TIK00154,2026-01-04,Minggu,10:25,Akademik,Internet/WiFi,Rendah,Form Online,54,10.0,2,Tidak,Sesuai SLA,4
TIK00155,2026-01-04,Minggu,10:40,Keuangan,Komputer/Laptop,Tinggi,WhatsApp,55,8.2,3,Tidak,Lewat SLA,5
TIK00156,2026-01-04,Minggu,10:45,Program Studi,Printer,Rendah,WhatsApp,38,5.5,2,Tidak,Sesuai SLA,4
TIK00157,2026-01-04,Minggu,10:55,Kemahasiswaan,Proyektor,Tinggi,Form Online,42,6.5,2,Tidak,Lewat SLA,4
TIK00158,2026-01-04,Minggu,11:05,Akademik,Printer,Sedang,Email,75,4.7,1,Tidak,Sesuai SLA,5
TIK00159,2026-01-04,Minggu,11:10,Akademik,Komputer/Laptop,Rendah,WhatsApp,38,10.0,1,Tidak,Sesuai SLA,4
TIK00160,2026-01-04,Minggu,11:10,Akademik,Internet/WiFi,Tinggi,WhatsApp,37,7.9,1,Tidak,Lewat SLA,4
TIK00161,2026-01-04,Minggu,11:50,Umum,Printer,Rendah,WhatsApp,41,6.5,1,Tidak,Sesuai SLA,3
TIK00162,2026-01-04,Minggu,12:00,Laboratorium,Internet/WiFi,Sedang,WhatsApp,26,8.2,1,Ya,Sesuai SLA,4
TIK00163,2026-01-04,Minggu,12:10,Program Studi,Sistem Akademik,Tinggi,Form Online,46,17.6,1,Tidak,Lewat SLA,2
TIK00164,2026-01-04,Minggu,12:10,Akademik,Proyektor,Sedang,WhatsApp,37,3.3,2,Tidak,Sesuai SLA,4
TIK00165,2026-01-04,Minggu,12:15,Akademik,Komputer/Laptop,Rendah,WhatsApp,58,6.5,1,Tidak,Sesuai SLA,5
TIK00166,2026-01-04,Minggu,12:40,Umum,Akun/Login,Sedang,WhatsApp,33,4.8,2,Tidak,Sesuai SLA,5
TIK00167,2026-01-04,Minggu,12:45,Umum,Akun/Login,Rendah,WhatsApp,54,3.6,1,Tidak,Sesuai SLA,4
TIK00168,2026-01-04,Minggu,12:45,Umum,Akun/Login,Sedang,Form Online,83,5.3,2,Tidak,Sesuai SLA,4
TIK00169,2026-01-04,Minggu,13:05,Program Studi,Akun/Login,Rendah,Email,82,7.0,1,Tidak,Sesuai SLA,3
TIK00170,2026-01-04,Minggu,14:05,Keuangan,Internet/WiFi,Tinggi,Datang Langsung,25,6.3,2,Tidak,Lewat SLA,4
TIK00171,2026-01-04,Minggu,14:20,Kemahasiswaan,Komputer/Laptop,Sedang,Form Online,38,6.3,2,Tidak,Sesuai SLA,4
TIK00172,2026-01-04,Minggu,14:35,Akademik,Printer,Tinggi,Form Online,31,9.3,1,Tidak,Lewat SLA,3
TIK00173,2026-01-04,Minggu,14:40,Laboratorium,Sistem Akademik,Rendah,WhatsApp,69,10.3,1,Tidak,Sesuai SLA,3
TIK00174,2026-01-04,Minggu,14:40,Program Studi,Printer,Rendah,WhatsApp,41,2.2,2,Tidak,Sesuai SLA,4
TIK00175,2026-01-04,Minggu,15:55,Program Studi,Internet/WiFi,Sedang,Form Online,42,8.8,1,Ya,Sesuai SLA,4
TIK00176,2026-01-04,Minggu,16:05,Akademik,Internet/WiFi,Rendah,Form Online,64,8.4,1,Tidak,Sesuai SLA,4
TIK00177,2026-01-04,Minggu,16:45,Perpustakaan,Sistem Akademik,Tinggi,WhatsApp,19,17.9,2,Ya,Lewat SLA,3
TIK00178,2026-01-05,Senin,08:15,Laboratorium,Sistem Akademik,Sedang,Email,86,14.3,1,Ya,Lewat SLA,2
TIK00179,2026-01-05,Senin,08:30,Program Studi,Printer,Rendah,Form Online,55,3.3,1,Tidak,Sesuai SLA,4
TIK00180,2026-01-05,Senin,08:50,Program Studi,Sistem Akademik,Rendah,Form Online,51,12.3,1,Tidak,Sesuai SLA,3
TIK00181,2026-01-05,Senin,09:20,Keuangan,Internet/WiFi,Sedang,WhatsApp,24,10.8,1,Ya,Lewat SLA,3
TIK00182,2026-01-05,Senin,09:35,Laboratorium,Sistem Akademik,Sedang,WhatsApp,24,12.4,1,Tidak,Lewat SLA,3
TIK00183,2026-01-05,Senin,09:35,Akademik,Komputer/Laptop,Rendah,WhatsApp,81,7.0,1,Ya,Sesuai SLA,4
TIK00184,2026-01-05,Senin,09:55,Keuangan,Sistem Akademik,Sedang,Email,70,13.8,1,Ya,Lewat SLA,2
TIK00185,2026-01-05,Senin,10:00,Laboratorium,Sistem Akademik,Tinggi,WhatsApp,29,12.9,1,Tidak,Lewat SLA,3
TIK00186,2026-01-05,Senin,10:00,Akademik,Akun/Login,Rendah,Form Online,52,2.2,1,Tidak,Sesuai SLA,5
TIK00187,2026-01-05,Senin,10:15,Akademik,Printer,Sedang,Email,65,7.0,1,Tidak,Sesuai SLA,5
TIK00188,2026-01-05,Senin,11:05,Umum,Akun/Login,Rendah,WhatsApp,49,4.8,1,Tidak,Sesuai SLA,5
TIK00189,2026-01-05,Senin,11:15,Laboratorium,Akun/Login,Rendah,Form Online,77,2.9,1,Tidak,Sesuai SLA,5
TIK00190,2026-01-05,Senin,11:50,Laboratorium,Proyektor,Rendah,Email,117,3.7,1,Tidak,Sesuai SLA,4
TIK00191,2026-01-05,Senin,12:00,Keuangan,Komputer/Laptop,Rendah,WhatsApp,38,10.4,2,Tidak,Sesuai SLA,3
TIK00192,2026-01-05,Senin,12:05,Perpustakaan,Komputer/Laptop,Rendah,Datang Langsung,40,5.6,1,Tidak,Sesuai SLA,3
